Number,Name,Type,Value,Query,Note,Role,Depend On
1,[DBD] INVERA - Monitoring EDC FMS v2,Dashboard,https://drive.google.com/file/d/1FYXCPxXxKd9eRZCw9KwjeeTnlVRigAEa/view?usp=drive_link,,,Invera,"[2,3]"
2,logstash-assets,Index,"{""mappings"":{""_meta"":{""created_by"":""file-data-visualizer""},""properties"":{""@timestamp"":{""type"":""date""},""@version"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""asset_age"":{""type"":""long""},""asset_batch_date"":{""type"":""date""},""asset_category"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""asset_condition"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""asset_created_date"":{""type"":""date""},""asset_curr_cycle"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""asset_deleted_date"":{""type"":""date""},""asset_id"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""asset_idle_time_in_month"":{""type"":""long""},""asset_imei"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""asset_last_cycle"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""asset_last_updated_by_department"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""asset_last_updated_by_email"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""asset_last_updated_by_name"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""asset_last_updated_by_region"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""asset_last_updated_by_superior_email"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""asset_last_updated_by_superior_name"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""asset_last_updated_by_work_unit"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""asset_mid"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""asset_name"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""asset_opname_date"":{""type"":""date""},""asset_poi"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""asset_sn"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""asset_specification"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""asset_status"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""asset_tid"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""asset_type"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""asset_updated_date"":{""type"":""date""},""asset_work_unit"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""asset_work_unit_address"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""asset_work_unit_region"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""asset_work_unit_team_altname"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""asset_work_unit_team_name"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""is_missing"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""opname_date"":{""type"":""date""},""opname_name"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""opname_region"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""opname_status"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""tags"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}}}}}","SELECT pa.created_at AS asset_created_date, pa.updated_at AS asset_updated_date, pa.deleted_at AS asset_deleted_date, pa.id AS asset_id, pa.batch_date AS asset_batch_date, TRIM(pa.poi) AS asset_poi, TRIM(pa.imei) AS asset_imei, UPPER(pa.serial_number) AS asset_sn, TRIM(pa.tid) AS asset_tid, TRIM(pa.mid) asset_mid, TRIM(pc.name) AS asset_name, TRIM(pc.specification) AS asset_specification, TRIM(pi.name) AS asset_type, TRIM(pac.name) AS asset_category, TRIM(pco.name) AS asset_condition, TRIM(pas.name) AS asset_status, TIMESTAMPDIFF(YEAR, pa.batch_date, now()) AS asset_age, CASE WHEN pa.asset_status_id = 3 THEN 0 ELSE TIMESTAMPDIFF(MONTH, pa.updated_at, now()) END AS asset_idle_time_in_month, TRIM(pwu.name) AS asset_work_unit, TRIM(pwu.address) AS asset_work_unit_address, COALESCE(TRIM(prp.name), TRIM(pr.name), 'OPS BSD') AS asset_work_unit_region, TRIM(pt.name) AS asset_work_unit_team_name, COALESCE(CASE WHEN LOWER(pt.name) = 'PCS-07M' THEN 'PCS' ELSE TRIM(pt.alt_name) END, 'PCS') AS asset_work_unit_team_altname, TRIM(pa.latest_cycle) as asset_curr_cycle, TRIM(pa.cycle) AS asset_last_cycle, TRIM(pu1.name) AS asset_last_updated_by_name, TRIM(pu1.email) AS asset_last_updated_by_email, TRIM(pd.name) AS asset_last_updated_by_department, TRIM(pu2.name) AS asset_last_updated_by_superior_name, TRIM(pu2.email) AS asset_last_updated_by_superior_email, TRIM(pwuu.name) AS asset_last_updated_by_work_unit, COALESCE(TRIM(prpu.name), TRIM(pru.name), 'OPS BSD') AS asset_last_updated_by_region, op.asset_opname_date, TRIM(op.opname_name) AS opname_name, TRIM(op.opname_region) AS opname_region, op.opname_date, op.opname_status, CASE WHEN TIMESTAMPDIFF(MONTH, GREATEST(COALESCE(op.asset_opname_date, '1970-01-01'), COALESCE( op.opname_date, '1970-01-01')), now()) > 3 AND pa.asset_status_id NOT IN (1,3,19) THEN 1 ELSE 0 END AS is_missing FROM picas.assets AS pa LEFT JOIN picas.catalogs AS pc ON pc.id = pa.catalog_id LEFT JOIN picas.items AS pi ON pi.id = pc.item_id LEFT JOIN picas.asset_sub_categories AS pac ON pac.id = pi.asset_sub_category_id LEFT JOIN picas.conditions AS pco ON pco.id = pa.condition_id LEFT JOIN picas.asset_statuses AS pas ON pas.id = pa.asset_status_id LEFT JOIN picas.work_units AS pwu ON pwu.id = pa.work_unit_id LEFT JOIN picas.regions AS pr ON pr.id = pwu.region_id LEFT JOIN picas.regions AS prp ON prp.id = pr.parent_id LEFT JOIN picas.teams AS pt ON pt.id = pwu.team_id LEFT JOIN picas.users AS pu1 ON pu1.id = pa.user_id LEFT JOIN picas.departments AS pd ON pd.id = pu1.department_id LEFT JOIN picas.users AS pu2 ON pu2.id = pu1.superior_id LEFT JOIN picas.work_units AS pwuu ON pwuu.id = pu1.work_unit_id LEFT JOIN picas.regions AS pru ON pru.id = pwuu.region_id LEFT JOIN picas.regions AS prpu ON prpu.id = pru.parent_id LEFT JOIN ( SELECT UPPER(paor.serial_number) AS asset_sn, paor.created_at AS asset_opname_date, pao.title AS opname_name, pao.created_at AS opname_date, COALESCE(prop.name, pro.name) AS opname_region, paorst.name AS opname_status, pao.asset_opname_status_id, ROW_NUMBER() OVER(PARTITION BY paor.serial_number ORDER BY paor.created_at DESC) AS rn FROM picas.asset_opname_results AS paor LEFT JOIN picas.asset_opname_result_statuses paorst ON paorst.id = paor.asset_opname_result_status_id LEFT JOIN picas.asset_opname_regions AS paors ON paors.id = paor.asset_opname_region_id LEFT JOIN picas.regions AS pro ON pro.id = paors.region_id LEFT JOIN picas.regions AS prop ON prop.id = pro.parent_id LEFT JOIN picas.asset_opnames AS pao ON pao.id = paors.asset_opname_id AND pao.asset_opname_status_id = 6 WHERE paor.is_verified = 1 ) AS op ON op.asset_sn = UPPER(pa.serial_number) AND op.rn = 1 AND op.asset_opname_status_id = 6 WHERE 1=1 AND pi.name = 'EDC' ;",,,[3]
3,transform-stock_mentor_meri-v04,Index,"{""mappings"":{""_meta"":{""created_by"":""transform"",""_transform"":{""transform"":""transform-stock_mentor_meri-v03"",""version"":{""created"":""10.0.0""},""creation_date_in_millis"":1752809712115}},""properties"":{""@timestamp"":{""type"":""date""},""edc_count"":{""type"":""long""},""ro_name_rt"":{""type"":""keyword""},""technician_name"":{""type"":""keyword""}}}}","{""id"":""transform-stock_mentor_meri-v04"",""authorization"":{""roles"":[""[ROL] DBI Intern""]},""version"":""10.0.0"",""create_time"":1752810190499,""source"":{""index"":[""logstash-stock_mentor_details""],""query"":{""bool"":{""filter"":[{""bool"":{""filter"":[{""bool"":{""must_not"":{""bool"":{""should"":[{""exists"":{""field"":""deleted_at""}}],""minimum_should_match"":1}}}},{""bool"":{""must_not"":{""bool"":{""should"":[{""exists"":{""field"":""sp_id""}}],""minimum_should_match"":1}}}},{""bool"":{""should"":[{""bool"":{""should"":[{""term"":{""status.keyword"":{""value"":""PULL""}}}],""minimum_should_match"":1}},{""bool"":{""should"":[{""term"":{""status.keyword"":{""value"":""PULLED""}}}],""minimum_should_match"":1}},{""bool"":{""should"":[{""term"":{""status.keyword"":{""value"":""READY""}}}],""minimum_should_match"":1}}],""minimum_should_match"":1}},{""bool"":{""should"":[{""exists"":{""field"":""technician_id""}}],""minimum_should_match"":1}}]}}]}}},""dest"":{""index"":""transform-stock_mentor_meri"",""pipeline"":""adding_default_timestamp""},""sync"":{""time"":{""field"":""@timestamp"",""delay"":""60s""}},""pivot"":{""group_by"":{""ro_name_rt"":{""terms"":{""field"":""technician_work_unit_region.keyword""}},""technician_name"":{""terms"":{""field"":""technician_name.keyword""}}},""aggregations"":{""edc_count"":{""value_count"":{""field"":""sn.keyword""}}}},""settings"":{}}",,,[4]
4,logstash-stock_mentor_details,Index,"{""mappings"":{""properties"":{""@timestamp"":{""type"":""date""},""@version"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""created_at"":{""type"":""date""},""deleted_at"":{""type"":""date""},""inventory_id"":{""type"":""keyword""},""inventory_type"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""poi"":{""type"":""keyword""},""sn"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""sp_id"":{""type"":""keyword""},""sp_name"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""status"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""tags"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""technician_id"":{""type"":""keyword""},""technician_name"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""technician_work_unit_region"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""updated_at"":{""type"":""date""}}}}",SELECT i.inventory_id, i.created_at, i.updated_at, i.deleted_at, i.sn, i.poi, i.inventory_type, i.status, ud.technician_id, ud.technician_name, i.sp_id, i.name AS sp_name, ud.technician_work_unit_region FROM ( SELECT mi.id AS inventory_id, CASE WHEN mi.created_at <= '1970-01-01 00:00:00' THEN NULL ELSE mi.created_at END as created_at, CASE WHEN mi.updated_at <= '1970-01-01 00:00:00' THEN NULL ELSE mi.updated_at END as updated_at, CASE WHEN mi.deleted_at <= '1970-01-01 00:00:00' THEN NULL ELSE mi.deleted_at END as deleted_at, mi.poi, mi.user_id AS technician_id, mi.sn, UPPER(TRIM(mi.status)) AS status, mi.sp_id, misps.name, mi.inventory_type_id, mit.name AS inventory_type FROM mavis.inventories AS mi LEFT JOIN mavis.inventory_types AS mit ON mit.id = mi.inventory_type_id LEFT JOIN mavis.sps AS misps ON misps.id = mi.sp_id WHERE mi.sn REGEXP '^[A-Za-z][A-Za-z0-9]*$' ) AS i LEFT JOIN ( SELECT mu.id AS technician_id, mu.name AS technician_name, TRIM(msp.name) AS technician_work_unit_region FROM mavis.users AS mu LEFT JOIN mavis.sps AS msp ON msp.id = mu.sp_id ) AS ud ON ud.technician_id = i.technician_id;,,,
5,Dashboard POSe Subscription,Dashboard,https://drive.google.com/file/d/1stSFo1QlIR6fGOeQdznGFoDLG-J13JQt/view?usp=drive_link,,,TAP,[6]
6,cdc-tap-dm_pose_subscriptions,Index,"{""mappings"":{""properties"":{""__deleted"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""cdc_sync_at"":{""type"":""date""},""created_at"":{""type"":""date""},""deleted_at"":{""type"":""date""},""deposit_price"":{""type"":""long""},""expired_date"":{""type"":""date""},""greatest_updated_at"":{""type"":""date""},""id"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""is_first_time"":{""type"":""boolean""},""is_paid"":{""type"":""boolean""},""merchant_address"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""merchant_kab_kot_name"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""merchant_kec_kel_name"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""merchant_name"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""merchant_owner_email"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""merchant_owner_name"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""merchant_phone"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""merchant_pose_username"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""merchant_province_name"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""payment_date"":{""type"":""date""},""payment_method"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""qty"":{""type"":""long""},""regional_office"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""sales_head_name"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""sales_leader_name"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""sales_manager_name"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""sales_name"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""sales_referral_code"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""source"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""started_date"":{""type"":""date""},""submission_type"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""subscription_package"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""subscription_price"":{""type"":""long""}}}}",,,,[22]
9,s_view.pose_users_dummy,View,,CREATE OR REPLACE VIEW s_view.pose_users_dummy AS SELECT users.username FROM s_cdc_subscription.users WHERE 1 = 1 AND (users.username ~~ '%dummy%'::text OR users.username ~~ '%test%'::text OR users.username ~~ '%sales%'::text) UNION SELECT DISTINCT submission_poses.user_name AS username FROM s_cdc_tap.submission_poses WHERE 1 = 1 AND submission_poses.tag = 2 AND (submission_poses.user_name ~~ '%dummy%'::text OR submission_poses.user_name ~~ '%test%'::text OR submission_poses.user_name ~~ '%sales%'::text);,,,"[27,33]"
10,Dashboard POSe Revenue - v01,Dashboard,https://drive.google.com/file/d/19zb61HB2HjRXwx--QVdlTF4qs8qt76hR/view?usp=drive_link,,,TAP,[6]
11,Dashboard Point Cashier Loyalty-v2,Dashboard,,,,TAP,[12]
12,cdc-internal-dm_cashloy_daily_point,Index,"{""mappings"":{""properties"":{""@timestamp"":{""type"":""date""},""__deleted"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""accumulative_point_pending"":{""type"":""long""},""accumulative_point_success"":{""type"":""long""},""accumulative_redeem_pending"":{""type"":""long""},""accumulative_redeem_success"":{""type"":""long""},""cdc_sync_at"":{""type"":""date""},""daily_new_user"":{""type"":""long""},""daily_point_pending"":{""type"":""long""},""daily_point_success"":{""type"":""long""},""daily_redeem_pending"":{""type"":""long""},""daily_redeem_success"":{""type"":""long""},""date_id"":{""type"":""date""},""doc_id"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""first_check_in"":{""type"":""date""},""last_check_out"":{""type"":""date""},""registered_mid"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""registered_tid"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""tags"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""user_created_at"":{""type"":""date""},""user_deleted_at"":{""type"":""date""},""user_email"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""user_id"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""user_initial"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""user_name"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""user_role_description"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""user_role_id"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""user_role_name"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""user_updated_at"":{""type"":""date""}}}}",,,,[1]
15,Dashboard POSe Revenue Regional Only - v01,Dashboard,https://drive.google.com/file/d/1VfLUtOytPXoeVxuL8qk994tagwUJIyLi/view?usp=drive_link,,,TAP,"[6,16]"
16,transform-pivot-pose_all_subscription_per_sales_per_month,Index,"{""mappings"":{""properties"":{""__deleted"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""cdc_sync_at"":{""type"":""date""},""created_at"":{""type"":""date""},""deleted_at"":{""type"":""date""},""deposit_price"":{""type"":""long""},""expired_date"":{""type"":""date""},""greatest_updated_at"":{""type"":""date""},""id"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""is_first_time"":{""type"":""boolean""},""is_paid"":{""type"":""boolean""},""merchant_address"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""merchant_kab_kot_name"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""merchant_kec_kel_name"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""merchant_name"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""merchant_owner_email"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""merchant_owner_name"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""merchant_phone"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""merchant_pose_username"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""merchant_province_name"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""payment_date"":{""type"":""date""},""payment_method"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""qty"":{""type"":""long""},""regional_office"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""sales_head_name"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""sales_leader_name"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""sales_manager_name"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""sales_name"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""sales_referral_code"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""source"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""started_date"":{""type"":""date""},""submission_type"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""subscription_package"":{""type"":""text"",""fields"":{""keyword"":{""type"":""keyword"",""ignore_above"":256}}},""subscription_price"":{""type"":""long""}}}}","{""id"":""transform-pivot-pose_all_subscription_per_sales_per_month-v01"",""authorization"":{""roles"":[""[ROL] DBI Intern"",""superuser""]},""version"":""10.0.0"",""create_time"":1768883409667,""source"":{""index"":[""cdc-tap-dm_pose_subscriptions""],""query"":{""bool"":{""must"":[{""term"":{""is_paid"":true}}]}}},""dest"":{""index"":""transform-pivot-pose_all_subscription_per_sales_per_month""},""sync"":{""time"":{""field"":""cdc_sync_at"",""delay"":""60s""}},""pivot"":{""group_by"":{""sales_name"":{""terms"":{""field"":""sales_name.keyword""}},""regional_office"":{""terms"":{""field"":""regional_office.keyword""}},""submission_type"":{""terms"":{""field"":""submission_type.keyword""}},""created_at"":{""date_histogram"":{""field"":""created_at"",""calendar_interval"":""1M"",""time_zone"":""Asia/Jakarta""}}},""aggregations"":{""sum.subscription_price"":{""sum"":{""field"":""subscription_price""}}}},""description"":""Mendapatkan Summary Subscription Price per Sales per Month"",""settings"":{}}",source: dari no 5,,[6]
